Kategoria,Podkategoria,Pytanie,Typ_pytania,Margines,Podpucha1,Podpucha2,Podpucha3,Akceptowana_Odpowiedź,Media
Cyfrowy Cyrk,Strach,"Jedna z postaci cyfrowego cyrku - Jax, wzdryga się za każdym razem gdy zobaczy kukurydzę. Nienawidzi też granatów. Wedle teorii głównej bohaterki serii może to być rodzaj strachu przed dziurami. Jak nazywa się tego typu fobia?",ABCD,,Iatrofobia,Agorafobia,Omfalofobia,Trypofobia
Cyfrowy Cyrk,Synteza dźwięku,W 1961 roku amerykańscy naukowcy jako pierwsi w historii nauczyli komputer śpiewać. Do demonstracji wybrali popularną piosenkę z końca XIX wieku. Jaki to utwór?,ABCD,,Marsylianka,Greensleeves,My Bonnie Lies Over the Ocean,Daisy Bell,media/Cyfrowy Cyrk_Synteza dźwięku_1.mp4
Silksong,Zguba,"Christopher Larkin tworząc oprawę muzyczną do Silksong sięgnął po gregoriański chorał o sądzie ostatecznym, który od wieków pojawia się w muzyce filmowej i klasycznej jako motyw śmierci. Jaką nosi on nazwę?",ABCD,,Kyrie Eleison,Lacrimosa,Miserere,Dies Irae,media/Silksong_Zguba_1.mp4
Silksong,Życzenie,"16-letni fan gry Hollow Knight zachorował na nowotwór. Jego ostatnim życzeniem było spotkanie z twórcami ulubionej gry. Team Cherry nie tylko się spotkało, ale zaprosiło go do zaprojektowania postaci w Silksong. Jak nazywa się ta postać?",ABCD,,Sherma,Grindle,Lace,Seth
Silksong,Taniec,"Jeden z utworów w Silksong ([Strive](media/Silksong_Taniec_1.mp4)) inspirowany jest słynną XIX-wieczną skrzypcową miniaturą wirtuozowską Henryka Wieniawskiego. Styl miniatury jak i jej nazwa bazują na włoskim tańcu ludowym – szalonym, błyskawicznym, granym w tempie Presto. Jak ten taniec się nazywa?",ABCD,,Saltarello,Bolero,Fandango,Tarantella,media/Silksong_Taniec_2.mp4
Polska,Religia,"Jak nazywa się kaszubska tradycja, w której czworo wiernych rytmicznie kołysze ciężkimi świętymi obrazami podczas procesji i pielgrzymek?",ABCD,,Taniec relikwiarzy,Procesja obraźników,Ukłon kalwaryjski,Pokłon feretronów,media/Polska_Religia_1.mp4
Polska,Przemysł,"Który polski producent pociągów celowo programował swoje składy tak, by blokowały się w warsztatach konkurencji, co odkryła grupa hakerów Dragon Sector?",ABCD,,Pesa,Stadler,Alstom,Newag
Polska,Turystyka,"Ksiądz Wacław Tomaszek przez 20 lat zbierał kości ofiar wojen i epidemii, by wyłożyć nimi ściany i sufit swojej kaplicy — a po śmierci sam do niej trafił. W jakiej polskiej miejscowości znajduje się ta Kaplica Czaszek?",ABCD,,Lądek-Zdrój,Polanica-Zdrój,Duszniki-Zdrój,Kudowa-Zdrój
Zawód,Farmer,"Jakie zwierzęta zaczęto hodować w pustych nieruchomościach w Londynie, aby formalnie uznać je za działalność rolniczą i uniknąć podatku od pustostanów?",ABCD,,Króliki,Kury,Pszczoły,Ślimaki
Zawód,Czarodziej,Jaki kraj jeszcze w XXI wieku oficjalnie zatrudniał czarodzieja?,ABCD,,Bhutan,Irlandia,Ghana,Nowa Zelandia
Zawód,Ryzykant,Jaka grupa zawodowa tygodniami łączy wymagającą pracę fizyczną z mówieniem piskliwym głosem?,ABCD,,Piloci myśliwców,Saperzy,Astronauci,Nurkowie saturacyjni
Show-biznes,Psychologia,"Jak nazywa się zjawisko, w którym próba cenzury informacji doprowadza do jej dynamicznego rozpowszechnienia?",ABCD,,Efekt Pigmaliona,Efekt Bumerang,Efekt Mandeli,Efekt Streisand
Show-biznes,Niesławny,"Który aktor metodyczny — znany z zsyłania martwych świń współpracownikom na planach filmowych — prowadzi równolegle rockowy zespół i quasi-religijny kult fanów zwanych ""Echelonem""?",ABCD,,Joaquin Phoenix,Christian Bale,Dustin Hoffman,Jared Leto
Show-biznes,Drugi plan,"Noel Gugliemi -  amerykański aktor drugoplanowy zasłynął z tego, że w dziesiątkach niezwiązanych ze sobą filmów i seriali grał postaci o tym samym imieniu — początkowo przez przypadek, później już świadomie. Jak miały na imię te postacie?",ABCD,,Diego,Miguel,Carlos,Hector
Polityka,Internet,W 2025 roku w pewnym kraju młodzi protestujący obalili rząd i — korzystając z serwera Discord — wybrali nową premier. W jakim kraju to się wydarzyło?,ABCD,,Mjanma,Bangladesz,Sri Lanka,Nepal
Polityka,Zwierzęta,Pewien popularny internetowy mem polityczny opisuje zjawisko gdy wyborcy głosują na ugrupowanie popierające szkodliwą politykę — wierząc że dotknie ona tylko innych — po czym sami zostają jej ofiarą. Jakie zwierzę widnieje w nazwie tego fikcyjnego ugrupowania?,ABCD,,Niedźwiedź,Rekin,Wilk,Leopard
Polityka,Trump,Jak w kulturze memicznej nazywa się zjawisko wycofywania się Donalda Trumpa z wcześniej stawianych gróźb — szczególnie w kontekście ceł?,ABCD,,DOGE,OPEC,AIPEC,TACO
Musicale,Oscary,Z jakim filmem La La land przegrało Oscara za najlepszy film?,ABCD,,Kształt wody,Spotlight,Parasite,Moonlight
Musicale,Mitologia,Na jakim micie bazuje musical Hadestown?,ABCD,,Mit o Demeter i Korze,Mit o Prometeuszu,Mit o Tezeuszu i Ariadnie,Mit o Orfeuszu i Eurydyce 
Musicale,Broadway ,Ile teatrów wlicza się w Broadway?,Liczba,5,,,,41
Disney,Live action,"Jaki tytuł ma piosenka Dżasminy z filmu live action ,,Alladyn"" z 2019r. która nie znalazła się w oryginalnej animacji?",ABCD,,Friend Like Me,Father,These Palace Walls,Speechless
Disney,Lego,Z jakiego filmu pochodzi ta postać?,ABCD,,Toy story 3,Auta,Potwory i spółka ,WALL-E 
Disney,Disney +,Jaki jest tytuł serialu wyprodukowanego przez Disney + bazującego na historii true crime?,ABCD,,Czwartkowy klub zbrodni,Na noże,Testamenty ,Zbrodnie po sąsiedzku
Oryginał,Muzyka,"Nieoficjalny hymn Solidarności — Mury Jacka Kaczmarskiego — powstał do melodii [zagranicznej piosenki](media/Oryginał_Muzyka_1.mp4) o podobnej tematyce. Kaczmarski był jednak zafascynowany nie tylko melodią, ale też historią oryginału: piosenka była zakazana przez dyktaturę i śpiewana szeptem lub bez słów. W jakim języku powstał oryginał?",ABCD,,Prowansalski,Galicyjskim,Baskijski,Kataloński
Oryginał,Planszówki,"Gdy licencja na IP wygasła, projektant Martin Wallace nie mógł już sprzedawać swojej planszówki. Ponieważ mechaniki gry nie podlegają prawu autorskiemu, wydał ją ponownie pod nazwą Nanty Narking w nowym kostiumie wiktoriańskiego Londynu. Z jakiego IP wywodziła się oryginalna gra?",ABCD,,Harry Potter,Warhammer,Władca Pierścieni,Świat Dysku
Oryginał,Leki,"Firma produkująca Ozempic wypuściła na rynek lek z tą samą substancją czynną, ale dedykowany przy leczeniu otyłości. Jak nazywa się ten lek?",ABCD,,Victoza,Mounjaro,Saxenda,Wegovy
Geografia,Odludzie,"Pewne miasto jest równocześnie najzimniejszym dużym miastem świata i rekordzistą pod względem amplitudy temperatur — latem słupek rtęci sięga tam niemal 40 stopni Celsjusza, zimą spada poniżej minus 60. Jak nazywa się to miasto?",ABCD,,Longyearbyen,Murmańsk,Tromsø,Jakuck
Geografia,Równoleżniki,Wzdłuż którego równoleżnika przebiega granica między Koreą Północną a Południową?,Liczba,5,,,,38
Geografia,Na czasie,"Od 28 lutego na bliskim wschodzie trwa wojna z Iranem, czego głównym skutkiem dla świata jest blokada znajdującej się przy Iranie Cieśniny Ormuz. Jaki kraj znajduje się po drugiej stronie cieśniny w jej najwęższym punkcie?",ABCD,,Zjednoczone Emiraty Arabskie,Katar,Arabia Saudyjska,Oman
AI,Ruch,"W 2025 roku youtuber Louis Rossmann zaapelował do internautów by zmienili swoje awatary jako znak sprzeciwu wobec Big Techu — zbieraniu danych, trenowaniu AI bez zgody użytkowników i ograniczaniu prawa do naprawy. Co stało się symbolem tej inicjatywy?",ABCD,,Floppy disk,Tux,R2-D2,Clippy
AI,Nauka,Twórcy którego modelu AI otrzymali w 2024 roku Nagrodę Nobla z chemii?,ABCD,,Kimi K2.5,Qwen3,Gato,AlphaFold2
AI,Zwierzęta,"Modele językowe takie jak ChatGPT potrafią wpaść w chaotyczną pętlę samopoprawek gdy zapytać je o emoji pewnego zwierzęcia - emoji, które nigdy nie istniało w standardzie Unicode, choć miliony ludzi są przekonane że je pamiętają. O jakie zwierzę chodzi?",ABCD,,Rozgwiazda,Ośmiornica,Krewetka,Konik morski
Sport,Doping,"W 2019 roku buty pewnej marki zajęły 31 z 36 miejsc na podium największych maratonów świata, wywołując debatę o ""shoe dopingu"". Jak nazywał się ten model?",ABCD,,Adizero,Metaspeed,Endorphin Pro,Vaporfly
Sport,Polska,"Kibice skoków narciarskich zauważyli osobliwą zbieżność — Adam Małysz, Kamil Stoch, Piotr Żyła i Kacper Tomasiak, czterej wybitni polscy skoczkowie, urodzili się w latach kończących się tą samą cyfrą. W którym roku urodził się Kamil Stoch?",Liczba,0,,,,1987
Sport,Film,"Pewna hollywoodzka ""klątwa"" głosi, że aktorki grające kolejne miłości Spider-Mana prędzej czy później trafiają do produkcji o tej samej dyscyplinie sportowej. Kirsten Dunst, Emma Stone i Zendaya — każda po roli dziewczyny Petera Parkera — zagrały sportsmenkę w tym samym sporcie. Jakim?",ABCD,,Pływanie,Siatkówka,Łyżwiarstwo figurowe,Tenis
